K18 complete graph factorization: all P1F classes with |Aut| > 1

Total: 10710

     |Aut|   classes
         2     10179
         3       351
         4       144
         8        22
        16        12
        17         1
       272         1

Each factorization is listed once, in the canonical form produced by the project
canonizer. Entries are sorted in ascending lexicographic order of that form.


#1 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 12   9 11  10 16  13 15  14 17 "
 "   0  5   1  2   3  9   4  6   7 13   8 10  11 17  12 14  15 16 "
 "   0  6   1  8   2 11   3 12   4 13   5 17   7 15   9 16  10 14 "
 "   0  7   1  9   2 13   3 10   4 16   5 12   6 14   8 17  11 15 "
 "   0  8   1 12   2 10   3 17   4  7   5 15   6 16   9 14  11 13 "
 "   0  9   1 13   2 16   3 11   4 14   5  6   7 17   8 15  10 12 "
 "   0 10   1  7   2 17   3  4   5 14   6  8   9 13  11 16  12 15 "
 "   0 11   1  6   2  5   3 16   4 15   7  9   8 12  10 17  13 14 "
 "   0 12   1 14   2  4   3 13   5 10   6 17   7 11   8 16   9 15 "
 "   0 13   1 15   2 12   3  5   4 11   6 10   7 16   8 14   9 17 "
 "   0 14   1 17   2 15   3  7   4 10   5 13   6  9   8 11  12 16 "
 "   0 15   1 16   2  6   3 14   4 12   5 11   7  8   9 10  13 17 "
 "   0 16   1 11   2 14   3  8   4 17   5  9   6 15   7 12  10 13 "
 "   0 17   1 10   2  9   3 15   4  8   5 16   6 13   7 14  11 12 "

#2 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 12   9 14  10 16  11 15  13 17 "
 "   0  5   1  2   3  9   4  6   7 13   8 15  10 14  11 17  12 16 "
 "   0  6   1 11   2 16   3 14   4  8   5 12   7  9  10 17  13 15 "
 "   0  7   1 10   2 15   3 17   4 13   5  9   6  8  11 16  12 14 "
 "   0  8   1  7   2 17   3  4   5 10   6 16   9 15  11 12  13 14 "
 "   0  9   1  6   2  5   3 16   4 11   7 17   8 14  10 13  12 15 "
 "   0 10   1 14   2  9   3 12   4 15   5 17   6 13   7 11   8 16 "
 "   0 11   1 15   2 13   3  8   4 16   5 14   6 10   7 12   9 17 "
 "   0 12   1  8   2 11   3 13   4 10   5 15   6  9   7 16  14 17 "
 "   0 13   1  9   2 12   3 10   4 14   5 11   6 17   7  8  15 16 "
 "   0 14   1 16   2  4   3  7   5 13   6 15   8 17   9 11  10 12 "
 "   0 15   1 17   2  6   3  5   4 12   7 14   8 10   9 16  11 13 "
 "   0 16   1 13   2 14   3 11   4 17   5  6   7 15   8 12   9 10 "
 "   0 17   1 12   2 10   3 15   4  7   5 16   6 14   8 11   9 13 "

#3 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 12   9 14  10 17  11 13  15 16 "
 "   0  5   1  2   3  9   4  6   7 13   8 15  10 12  11 16  14 17 "
 "   0  6   1  8   2 10   3 16   4 15   5 11   7 17   9 13  12 14 "
 "   0  7   1  9   2 17   3 11   4 10   5 14   6 16   8 12  13 15 "
 "   0  8   1 10   2 11   3 12   4 17   5  9   6 15   7 16  13 14 "
 "   0  9   1 11   2 13   3 10   4  8   5 16   6 17   7 14  12 15 "
 "   0 10   1 16   2 15   3 13   4 14   5 17   6  8   7 12   9 11 "
 "   0 11   1 17   2 12   3 14   4 16   5 15   6 13   7  9   8 10 "
 "   0 12   1 14   2  4   3  7   5 13   6  9   8 17  10 16  11 15 "
 "   0 13   1 15   2  6   3  5   4 12   7  8   9 16  10 14  11 17 "
 "   0 14   1  7   2  9   3 15   4 11   5 12   6 10   8 16  13 17 "
 "   0 15   1  6   2 14   3  8   4 13   5 10   7 11   9 17  12 16 "
 "   0 16   1 12   2  5   3 17   4  7   6 14   8 11   9 15  10 13 "
 "   0 17   1 13   2 16   3  4   5  6   7 15   8 14   9 10  11 12 "

#4 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 12   9 14  10 17  11 13  15 16 "
 "   0  5   1  2   3  9   4  6   7 13   8 15  10 12  11 16  14 17 "
 "   0  6   1 15   2 17   3  8   4 10   5 14   7 16   9 13  11 12 "
 "   0  7   1 14   2  9   3 16   4 15   5 11   6 17   8 12  10 13 "
 "   0  8   1  6   2 12   3 17   4 16   5 10   7 11   9 15  13 14 "
 "   0  9   1  7   2 16   3 13   4 11   5 17   6 10   8 14  12 15 "
 "   0 10   1 12   2 15   3  5   4 13   6 16   7 14   8 11   9 17 "
 "   0 11   1 13   2  4   3 14   5 12   6 15   7 17   8 16   9 10 "
 "   0 12   1 17   2 11   3 15   4 14   5 16   6 13   7  9   8 10 "
 "   0 13   1 16   2 14   3 10   4 17   5 15   6  8   7 12   9 11 "
 "   0 14   1 10   2  6   3 12   4  8   5 13   7 15   9 16  11 17 "
 "   0 15   1 11   2 13   3  7   4 12   5  9   6 14   8 17  10 16 "
 "   0 16   1  9   2 10   3  4   5  6   7  8  11 15  12 14  13 17 "
 "   0 17   1  8   2  5   3 11   4  7   6  9  10 14  12 16  13 15 "

#5 |Aut| = 2
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 17 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 16 "
 "   0  4   1  3   2  8   5  7   6 12   9 15  10 14  11 16  13 17 "
 "   0  5   1  2   3  9   4  6   7 13   8 14  10 17  11 15  12 16 "
 "   0  6   1 16   2 11   3 13   4 10   5  9   7 12   8 15  14 17 "
 "   0  7   1 17   2 12   3 10   4  8   5 11   6 13   9 14  15 16 "
 "   0  8   1 10   2 15   3  4   5 12   6 17   7 14   9 16  11 13 "
