K20 complete graph factorization: all P1F classes with |Aut| > 3

Total: 230

     |Aut|   classes
         6       168
         9        46
        18         9
        19         3
        57         1
       171         2
       342         1

Each factorization is listed once, in the canonical form produced by the project
canonizer. Entries are sorted in ascending lexicographic order of that form.


#1 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  3   2  8   5 10   6  9   7 18  11 17  12 14  13 19  15 16 "
 "   0  5   1  2   3  9   4 11   6 19   7  8  10 16  12 18  13 15  14 17 "
 "   0  6   1 12   2 10   3  8   4 16   5 18   7 17   9 19  11 15  13 14 "
 "   0  7   1 13   2  9   3 11   4 19   5 17   6 16   8 18  10 14  12 15 "
 "   0  8   1 15   2 11   3 17   4 12   5 16   6 13   7 19   9 10  14 18 "
 "   0  9   1 14   2 16   3 10   4 17   5 13   6 18   7 12   8 11  15 19 "
 "   0 10   1 17   2 18   3 14   4  8   5 15   6 12   7  9  11 13  16 19 "
 "   0 11   1 16   2 15   3 19   4 14   5  9   6  8   7 13  10 12  17 18 "
 "   0 12   1  7   2 19   3  5   4 13   6 14   8 10   9 16  11 18  15 17 "
 "   0 13   1  6   2  4   3 18   5 12   7 15   8 17   9 11  10 19  14 16 "
 "   0 14   1 19   2 13   3  7   4 15   5  6   8 16   9 18  10 17  11 12 "
 "   0 15   1 18   2  6   3 12   4  7   5 14   8 19   9 17  10 13  11 16 "
 "   0 16   1 10   2 17   3 13   4 18   5  7   6 15   8 12   9 14  11 19 "
 "   0 17   1 11   2 12   3 16   4  6   5 19   7 14   8 15   9 13  10 18 "
 "   0 18   1  8   2 14   3  4   5 11   6 10   7 16   9 15  12 19  13 17 "
 "   0 19   1  9   2  5   3 15   4 10   6 17   7 11   8 14  12 16  13 18 "

#2 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
 "   0  4   1  3   2  8   5 13   6 17   7 18   9 15  10 14  11 19  12 16 "
 "   0  5   1  2   3  9   4 12   6 19   7 16   8 14  10 18  11 15  13 17 "
 "   0  6   1 17   2 11   3  5   4  8   7  9  10 13  12 19  14 18  15 16 "
 "   0  7   1 16   2  4   3 10   5  9   6  8  11 12  13 18  14 17  15 19 "
 "   0  8   1  7   2  6   3 14   4 13   5 15   9 16  10 19  11 17  12 18 "
 "   0  9   1  6   2 15   3  7   4 14   5 12   8 17  10 16  11 18  13 19 "
 "   0 10   1 18   2 12   3 17   4  7   5 11   6  9   8 15  13 14  16 19 "
 "   0 11   1 19   2 16   3 13   4 10   5  6   7  8   9 14  12 15  17 18 "
 "   0 12   1 15   2  5   3 16   4 19   6 18   7 14   8 10   9 17  11 13 "
 "   0 13   1 14   2 17   3  4   5 18   6 15   7 19   8 16   9 11  10 12 "
 "   0 14   1 12   2  9   3 18   4 16   5 19   6 10   7 13   8 11  15 17 "
 "   0 15   1 13   2 19   3  8   4 18   5 17   6 12   7 11   9 10  14 16 "
 "   0 16   1  8   2 18   3 11   4 15   5 10   6 13   7 17   9 19  12 14 "
 "   0 17   1  9   2 10   3 19   4 11   5 14   6 16   7 12   8 18  13 15 "
 "   0 18   1 11   2 14   3 12   4  6   5 16   7 15   8 19   9 13  10 17 "
 "   0 19   1 10   2 13   3 15   4 17   5  7   6 14   8 12   9 18  11 16 "

#3 |Aut| = 6
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 16  15 18  17 19 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 17  14 19  16 18 "
